TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20220111210784,5,11,22,2,0,0,0
20220111210784,6,6,22,1,0,0,0
20220111210797,1,27,18,2,0,0,0
20220111210797,2,29,21,1,0,0,0
20220111210797,3,26,30,1,0,0,0
20220111210800,1,26,18,2,0,0,0
20220111210800,2,26,20,1,0,0,0
20220111210809,1,60,18,1,0,0,0
20220111210809,2,63,20,2,0,0,0
20220111210810,1,24,18,2,0,0,0
20220111210810,2,6,22,2,0,0,0
20220111210824,1,43,18,2,0,0,0
20220111210824,2,43,20,1,0,0,0
20220111210824,3,12,22,2,0,0,0
20220111210824,4,10,22,2,0,0,0
20220111210828,1,72,18,2,0,0,0
20220111210828,2,73,20,1,0,0,0
20220111210851,1,39,18,2,0,0,0
20220111210851,2,42,20,1,0,0,0
20220111210851,3,15,22,2,0,0,0
20220111210851,4,17,22,2,0,0,0
20220111210858,1,80,18,2,0,0,0
20220111210858,2,80,20,1,0,0,0
20220111210878,1,38,18,2,0,0,0
20220111210878,2,36,20,1,0,0,0
20220111210878,3,6,22,1,0,0,0
20220111210878,4,3,22,1,0,0,0
20220111210878,5,0,22,1,0,0,0
20220111210923,1,70,19,1,0,0,0
20220111210928,1,28,18,1,0,0,0
20220111210928,2,27,20,2,0,0,0
20220111210939,1,56,18,2,0,0,0
20220111210939,2,54,20,1,0,0,0
20220111210951,1,55,18,2,0,0,0
20220111210951,2,20,22,2,0,0,0
20220111210952,1,58,19,1,0,0,0
20220111210976,1,35,18,2,0,0,0
20220111210976,2,37,20,1,0,0,0
20220111210977,1,24,19,1,0,0,0
20220111211035,1,26,18,2,0,0,0
20220111211035,2,57,24,2,0,0,0
20220111211048,1,36,19,2,0,0,0
20220111211062,1,38,18,2,0,0,0
20220111211062,2,41,20,1,0,0,0
20220111211062,3,3,22,1,0,0,0
20220111211064,1,65,18,1,0,0,0
20220111211064,2,63,20,2,0,0,0
20220111211064,3,34,22,2,0,0,0
20220111211068,1,25,18,2,0,0,0
20220111211068,2,51,24,2,0,0,0
20220111211070,1,63,18,1,0,0,0
20220111211074,1,29,18,1,0,0,0
20220111211074,2,28,21,2,0,0,0
20220111211079,1,85,18,2,60,0,0
20220111211083,1,25,18,2,0,0,0
20220111211083,2,0,22,1,0,0,0
20220111211083,3,26,21,1,0,0,0
20220111211095,1,18,18,1,0,0,0
20220111211095,2,44,24,1,0,0,0
20220111211095,3,45,24,2,0,0,0
20220111211095,4,20,25,2,0,0,0
20220111211095,5,10,25,2,0,0,0
20220111211101,1,66,18,2,0,0,0
20220111211101,2,75,20,1,0,0,0
20220111211175,1,42,18,2,0,0,0
20220111211175,2,43,20,1,0,0,0
20220111211175,3,8,22,2,0,0,0
20220111211175,4,6,22,1,0,0,0
20220111211192,1,56,19,2,0,0,0
20220111211199,1,39,18,2,0,0,0
20220111211199,2,49,20,1,0,0,0
20220111211199,3,2,22,2,0,0,0
20220111211201,1,56,18,2,0,0,0
20220111211221,1,75,18,1,0,0,0
20220111211221,2,74,20,2,0,0,0
20220111211221,3,45,22,2,0,0,0
20220111211221,4,17,23,1,0,0,0
20220111211230,1,57,18,2,0,0,0
